"ID","Alg","n","Scheduling_route","T_k","TC_k","Obj"
"1","DRL-MA","3","R1: 0-1-2-3-29-28-27-26-25-24-22-21-19-14-13-12-6-0 | R2: 0-0 | R3: 0-7-8-9-10-11-15-16-17-18-20-23-30-31-32-4-5-0","1333.159 / 0.000 / 1244.150","111.121 / 0.000 / 111.980","516.194 / 223.101 / 1333.159"
"2","DRL-MA","3","R1: 0-8-12-13-14-23-24-25-26-27-28-29-3-2-1-5-6-0 | R2: 0-0 | R3: 0-7-9-10-11-15-16-17-18-19-22-21-20-30-31-32-4-0","1322.080 / 0.000 / 1266.237","110.764 / 0.000 / 112.399","527.853 / 223.163 / 1322.080"
"3","DRL-MA","3","R1: 0-6-12-13-14-21-22-24-25-26-27-28-29-3-2-1-0 | R2: 0-7-0 | R3: 0-8-9-10-11-15-16-17-18-19-20-23-30-31-32-4-5-0","1232.534 / 125.671 / 1235.645","103.438 / 8.123 / 111.688","539.152 / 223.249 / 1109.974"
"4","DRL-MA","3","R1: 0-6-12-13-14-21-22-24-25-26-27-28-29-3-2-1-4-0 | R2: 0-7-0 | R3: 0-8-9-10-11-15-16-17-18-19-20-23-30-31-32-5-0","1302.276 / 125.671 / 1171.177","110.165 / 8.123 / 104.959","541.413 / 223.247 / 1176.605"
"5","DRL-MA","3","R1: 0-6-12-13-14-21-22-24-25-26-27-28-29-3-2-1-0 | R2: 0-8-7-0 | R3: 0-9-10-11-15-16-17-18-19-20-23-30-31-32-4-5-0","1232.534 / 206.884 / 1164.501","103.438 / 15.274 / 104.606","550.881 / 223.317 / 1025.649"
"6","DRL-MA","3","R1: 0-6-12-13-14-20-24-25-26-27-28-29-3-2-1-0 | R2: 0-8-7-0 | R3: 0-9-10-11-15-16-17-18-19-22-21-23-30-31-32-4-5-0","1164.288 / 206.884 / 1230.746","96.768 / 15.274 / 111.297","552.281 / 223.340 / 1023.861"
"7","DRL-MA","3","R1: 0-6-12-13-14-21-22-24-25-26-27-28-29-3-2-1-4-0 | R2: 0-8-7-0 | R3: 0-9-10-11-15-16-17-18-19-20-23-30-31-32-5-0","1302.276 / 206.884 / 1100.033","110.165 / 15.274 / 97.877","553.142 / 223.315 / 1095.392"
"8","DRL-MA","3","R1: 0-12-13-14-21-22-24-25-26-27-28-29-3-2-1-0 | R2: 0-6-7-0 | R3: 0-8-9-10-11-15-16-17-18-19-20-23-30-31-32-4-5-0","1141.829 / 229.611 / 1235.645","95.735 / 15.915 / 111.688","554.598 / 223.339 / 1006.034"
"9","DRL-MA","3","R1: 0-12-13-14-20-21-22-24-25-26-27-28-29-3-2-1-0 | R2: 0-6-7-0 | R3: 0-8-9-10-11-15-16-17-18-19-23-30-31-32-4-5-0","1209.246 / 229.611 / 1169.370","102.720 / 15.915 / 104.707","555.476 / 223.342 / 979.635"
"10","DRL-MA","3","R1: 0-12-13-14-21-22-24-25-26-27-28-29-3-2-1-4-0 | R2: 0-6-7-0 | R3: 0-8-9-10-11-15-16-17-18-19-20-23-30-31-32-5-0","1211.572 / 229.611 / 1171.177","102.462 / 15.915 / 104.959","556.859 / 223.337 / 981.961"
"11","DRL-MA","3","R1: 0-12-13-14-20-24-25-26-27-28-29-3-2-1-4-5-0 | R2: 0-7-6-0 | R3: 0-8-9-10-11-15-16-17-18-19-22-21-23-30-31-32-0","1188.037 / 229.611 / 1192.419","102.116 / 15.915 / 105.325","557.766 / 223.356 / 962.808"
"12","DRL-MA","3","R1: 0-12-13-14-21-22-24-25-26-27-28-29-3-2-1-0 | R2: 0-6-8-7-0 | R3: 0-9-10-11-15-16-17-18-19-20-23-30-31-32-4-5-0","1141.829 / 305.590 / 1164.501","95.735 / 23.031 / 104.606","560.308 / 223.372 / 858.911"
"13","DRL-MA","3","R1: 0-12-13-14-21-22-24-25-26-27-28-29-3-2-1-4-5-0 | R2: 0-6-8-7-0 | R3: 0-9-10-11-15-16-17-18-19-20-23-30-31-32-0","1256.283 / 305.590 / 1055.030","108.785 / 23.031 / 91.551","562.076 / 223.367 / 950.693"
"14","DRL-MA","3","R1: 0-12-13-14-21-22-24-25-26-27-28-29-3-2-1-4-0 | R2: 0-6-8-7-0 | R3: 0-9-10-11-15-16-17-18-19-20-23-30-31-32-5-0","1211.572 / 305.590 / 1100.033","102.462 / 23.031 / 97.877","562.569 / 223.370 / 905.982"
"15","DRL-MA","3","R1: 0-12-13-14-20-22-24-25-26-27-28-29-3-2-1-0 | R2: 0-6-8-7-0 | R3: 0-9-10-11-15-16-17-18-19-21-23-30-31-32-4-5-0","1148.197 / 305.590 / 1161.376","95.890 / 23.031 / 104.467","563.468 / 223.388 / 855.787"
"16","DRL-MA","3","R1: 0-6-20-21-22-23-24-25-26-27-28-29-30-31-32-0 | R2: 0-1-2-3-4-5-0 | R3: 0-7-8-9-10-11-15-16-17-18-19-14-13-12-0","1251.518 / 441.440 / 920.023","99.432 / 35.380 / 88.661","570.450 / 223.473 / 810.078"
"17","DRL-MA","3","R1: 0-20-21-22-23-24-25-26-27-28-29-30-31-32-0 | R2: 0-5-4-3-2-1-0 | R3: 0-7-8-9-10-11-15-16-17-18-19-14-13-12-6-0","1161.480 / 441.440 / 1010.564","91.732 / 35.380 / 96.364","571.004 / 223.476 / 720.041"
"18","DRL-MA","3","R1: 0-20-21-22-23-24-25-26-27-28-29-30-31-32-0 | R2: 0-5-4-2-3-1-0 | R3: 0-7-8-9-10-11-15-16-17-18-19-14-13-12-6-0","1161.480 / 445.288 / 1010.564","91.732 / 35.405 / 96.364","575.429 / 223.501 / 716.193"
"19","DRL-MA","3","R1: 0-20-21-22-23-24-25-26-27-28-29-30-31-32-0 | R2: 0-5-1-2-3-4-0 | R3: 0-7-8-9-10-11-15-16-17-18-19-14-13-12-6-0","1161.480 / 446.322 / 1010.564","91.732 / 35.412 / 96.364","576.619 / 223.508 / 715.158"
